Day,Month,Year,Open
30,9,2022,61.5
31,10,2022,63.599998
28,11,2023,114.900002
29,9,2021,138.0
29,11,2021,148.800003
30,12,2021,137.050003
3,1,2023,58.849998
16,8,2021,136.399994
19,7,2023,79.0
5,5,2022,65.75
30,1,2024,135.850006
2,3,2023,54.75
25,9,2023,100.300003
2,5,2023,64.5
14,2,2022,87.0
12,5,2022,53.799999
12,6,2023,78.300003
12,8,2021,135.649994
30,11,2021,149.949997
17,8,2022,64.800003
11,8,2022,56.900002
15,6,2022,70.650002
5,8,2022,57.900002
28,7,2021,131.0
26,12,2022,53.950001
13,7,2023,77.849998
20,6,2023,76.0
11,2,2022,92.75
29,10,2021,135.0
21,8,2023,90.5
8,12,2022,64.800003
13,10,2021,137.25
13,10,2022,64.099998
6,10,2021,138.75
17,8,2023,92.300003
8,6,2023,74.800003
11,9,2023,100.0
14,10,2022,63.0
25,4,2023,56.400002
21,9,2023,100.0
29,12,2022,59.5
25,4,2022,80.5
18,10,2023,114.5
28,1,2022,93.599998
2,1,2023,60.650002
15,7,2022,56.200001
1,8,2022,46.799999
15,2,2023,50.549999
7,3,2022,79.0
18,1,2023,50.400002
6,2,2024,140.399994
14,12,2023,121.0
11,3,2022,82.400002
11,12,2023,119.949997
25,8,2022,62.799999
6,7,2023,74.449997
22,2,2022,78.0
21,2,2023,54.599998
28,3,2023,50.200001
20,11,2023,122.849998
29,1,2024,136.899994
7,12,2023,119.599998
22,9,2022,62.900002
17,3,2023,53.450001
2,6,2022,74.400002
30,12,2022,61.0
13,4,2022,82.5
1,2,2023,50.0
16,12,2021,141.899994
7,2,2022,95.099998
7,4,2022,84.800003
3,8,2023,81.599998
25,10,2023,105.650002
19,12,2023,129.0
2,2,2024,141.800003
20,9,2021,137.699997
6,12,2022,64.75
27,7,2021,141.699997
19,5,2023,63.950001
1,11,2021,133.600006
26,5,2022,61.0
5,1,2024,130.899994
31,3,2023,51.25
28,7,2022,44.900002
5,12,2022,68.849998
15,3,2023,51.5
3,1,2022,139.699997
17,6,2022,65.650002
3,10,2023,101.0
9,11,2021,133.0
30,9,2021,139.199997
5,1,2022,137.899994
13,12,2021,142.199997
3,6,2022,73.900002
8,11,2023,122.0
19,1,2022,131.699997
27,12,2021,131.350006
18,12,2023,123.400002
17,8,2021,132.800003
15,12,2021,140.5
10,11,2022,65.5
3,2,2023,48.150002
10,1,2023,56.0
11,8,2023,94.599998
